url,keywords
"('http://youtube.com/watch?v=oLhohwfwf_U',)","('notsoloy|crimin|want|snitch',)"
"('http://youtube.com/watch?v=TXrOpjG4dUs',)","('equilibrium|price|quantiti|suppli|demand',)"
"('http://youtube.com/watch?v=vItRHYu-A88',)","('thoma|malthuss|view|popul|malthusian|limit',)"
"('http://youtube.com/watch?v=EKvHQc3QEow',)","('sal|ask|predict|year|2060',)"
"('http://youtube.com/watch?v=AaR1mPrdbTc',)","('direct|forc|case|circular|motion|constant|speed',)"
"('http://youtube.com/watch?v=_LDR1_Prveo',)","('sal|find|domain|rang|fx3x26x2',)"
"('http://youtube.com/watch?v=Hfz1bwK5C4o',)","('scienc|taxonomi|human|fit|tree|life',)"
"('http://youtube.com/watch?v=UkXI-zPcDIM',)","('sal|talk|professor|laurenc|baker|stanford|medic|school',)"
"('http://youtube.com/watch?v=PEMkfgrifDw',)","('discuss|health|care|cost',)"
"('http://youtube.com/watch?v=r1ywppAJ1xs',)","('dr|david|agu|talk|inflamm|sal|repeatedli|misspel|m',)"
"('http://youtube.com/watch?v=CiKrFcgVSIU',)","('differ|role|healthcar|system',)"
"('http://youtube.com/watch?v=vZOk8NnjILg',)","('basic|doctor|paid',)"
"('http://youtube.com/watch?v=za0QJRZ-yQ4',)","('basic|overview|hormon|endocrin|system',)"
"('http://youtube.com/watch?v=oHvLlS_Sc54',)","('mechan|carri|trade',)"
"('http://youtube.com/watch?v=VpLKdKkpg68',)","('understand|correl|impli|causal|press|research|impli',)"
"('http://youtube.com/watch?v=6YU9HVS2GT0',)","('prove|express|sum|posit|integ|includ|n|induct',)"
"('http://youtube.com/watch?v=GZ6I3T1RAnQ',)","('light|electromagnet|radiat|spectrum|wave|particlelik|behavior|calcul|wavelength|frequenc|light|wave',)"
"('http://youtube.com/watch?v=LMHxxvbzFqc',)","('think|coeffici|static|kinet|friction',)"
"('http://youtube.com/watch?v=4J-dRA3MGc8',)","('figur|compon|forc|graviti|parallel|perpendicular|surfac|inclin|plane',)"
"('http://youtube.com/watch?v=f_Z1zsR9lFM',)","('correct|total|final|veloc|projectil|video',)"
"('http://youtube.com/watch?v=8In5PK1yUAA',)","('calcul|total|final|veloc|projectil|land|differ|altitud|mistak|near|end|write|2903|2603|ms|final|total|magnitud|2655|ms|787|degre|horizont',)"
"('http://youtube.com/watch?v=ROpbdO-gRUo',)","('way|determin|time|air|given|initi|vertic|veloc',)"
"('http://youtube.com/watch?v=wblW_M_HVQ8',)","('visual|ad|break|vector|2|dimens',)"
"('http://youtube.com/watch?v=rLNM8zI4Q_M',)","('action|equal|opposit|reaction',)"
"('http://youtube.com/watch?v=ZA_D4O6l1lo',)","('newton|second|law|motion|f| |ma|forc|equal|mass|time|acceler|learn|use|formula|calcul|acceler',)"
"('http://youtube.com/watch?v=TC23wD34C7k',)","('newton|law|galileo|law|inertia',)"
"('http://youtube.com/watch?v=DNoDJlB0ygU',)","('long|runway|a380|need',)"
"('http://youtube.com/watch?v=sTp4cI9VyCU',)","('calcul|averag|veloc|acceler|constant',)"
"('http://youtube.com/watch?v=_NWc3C3cTNA',)","('understand|distanc|area|velocitytim|line',)"
"('http://youtube.com/watch?v=xp6ibuI8UuQ',)","('figur|long|take|a380|given|constant|acceler',)"
"('http://youtube.com/watch?v=By-ggTfeuJU',)","('calcul|acceler|porsch',)"
"('http://youtube.com/watch?v=ou9YMWlJgkE',)","('basic|graviti|law|univers|gravit',)"
"('http://youtube.com/watch?v=CQYELiTtUs8',)","('work|exampl|calcul|displac|time|veloc',)"
"('http://youtube.com/watch?v=fQt69_Q2CTw',)","('simpl|exampl|solv|time|given|distanc|rate',)"
"('http://youtube.com/watch?v=MAS6mBRZZXA',)","('exampl|calcul|speed|veloc',)"
"('http://youtube.com/watch?v=d-_eqgj5-K8',)","('distanc|displac|speed|veloc|differ|vector|scalar',)"
"('http://youtube.com/watch?v=p4DTormtEG0',)","('money|matter|money|present|futur|valu|discuss',)"
"('http://youtube.com/watch?v=FOkQszg1-j8',)","('limit|tell|valu|function|approach|function|’s|input|closer|closer|number|idea|limit|basi|calculu',)"
"('http://youtube.com/watch?v=Xcel427Ezl0',)","('taylor| |maclaurin|polynomi|clever|way|approxim|function|polynomi|learn|polynomi|work',)"
"('http://youtube.com/watch?v=lQ-dvt3V4yQ',)","('prime|number|number|divis|1|learn|properti|exampl',)"
"('http://youtube.com/watch?v=awzOvyMKeMA',)","('overview|commun|marxistleninist|state',)"
"('http://youtube.com/watch?v=oRKxmXwLvUU',)","('overview|hedg|fund|differ|mutual|fund',)"
"('http://youtube.com/watch?v=ihNZlp7iUHE',)","('clarifi|bunch|medic|term|heart|diseas',)"
"('http://youtube.com/watch?v=733mgqrzNKs',)","('basic|type|type|ii|diabet',)"
"('http://youtube.com/watch?v=riXcZT2ICjA',)","('ape|clarif| |tail',)"
"('http://youtube.com/watch?v=epgwuzzDHsQ',)","('salman|khan|talk|ted|2011|tedcom',)"
"('http://youtube.com/watch?v=mIStB5X4U8M',)","('swave|pwave',)"
"('http://youtube.com/watch?v=MmRgMAZyYN0',)","('shortcut|have|evalu|cross|product|vector',)"
"('http://youtube.com/watch?v=Qb7tbWuDc2U',)","('refract|snell|law',)"
"('http://youtube.com/watch?v=3858MaULDdI',)","('analysi|varianc|3|hypothesi|test|fstatist',)"
"('http://youtube.com/watch?v=rPLjSY00JlE',)","('sal|use|chi|squar|test|hypothesi|owner|distribut|correct',)"
"('http://youtube.com/watch?v=oFGkYA_diDA',)","('sal|walk|exampl|neurologist|test|effect|drug|discuss|hypothesi|test|pvalu',)"
"('http://youtube.com/watch?v=gM95HHI4gLk',)","('figur|probabl|run|water|camp|trip',)"
"('http://youtube.com/watch?v=NhioAAdYDJM',)","('introduct|mechan|aldol|reaction',)"
"('http://youtube.com/watch?v=b7JTVLc_aMk',)","('bill|gate|talk|khan|academi|gate|note',)"
"('http://youtube.com/watch?v=y55tzg_jW9I',)","('carboxyl|acid|deriv| |amid|anhydrid|ester|acyl|chlorid',)"
"('http://youtube.com/watch?v=Xg8_iSkJpAE',)","('carboxyl|acid|name',)"
"('http://youtube.com/watch?v=2QeDRsxSF9M',)","('carboxyl|acid|introduct',)"
"('http://youtube.com/watch?v=-FtlH4svqx4',)","('vapor|pressur|exampl|ideal|ga|law',)"
"('http://youtube.com/watch?v=0ZstEh_8bYc',)","('hesss|law|exampl',)"
"('http://youtube.com/watch?v=3XiHrsZNZko',)","('spectrophotometri|transmitt|absorb|beerlambert|law',)"
"('http://youtube.com/watch?v=UuMTSU9DcqQ',)","('amin|name|introduct',)"
"('http://youtube.com/watch?v=SRPQ62dR6b4',)","('name|benzen|deriv|introduct',)"
"('http://youtube.com/watch?v=z8h7QgevqjM',)","('reson|benzen|carbon|ion',)"
"('http://youtube.com/watch?v=xheOq0XZ-so',)","('free|radic|reaction',)"
"('http://youtube.com/watch?v=-QpkmwIoMaY',)","('e2|e1|sn2|sn1|reaction|exampl|3',)"
"('http://youtube.com/watch?v=8bCL8TQZFKo',)","('e2|e1|sn2|sn1|reaction|exampl|2',)"
"('http://youtube.com/watch?v=qbCZbP6_j48',)","('compar|e2|e1|sn2|sn1|reaction',)"
"('http://youtube.com/watch?v=Kpov3GS6tjM',)","('introduct|reaction|mechan|  |addit|reaction|alken',)"
"('http://youtube.com/watch?v=A5r7wkwDID4',)","('polymer|alken|acid',)"
"('http://youtube.com/watch?v=6XOm3Km7r30',)","('sal|introduc|famou|super|import|pythagorean|theorem',)"
"('http://youtube.com/watch?v=5HgzsltWwK8',)","('time|think|hangtim|farflung|projectil',)"
"('http://youtube.com/watch?v=MtwvLru62Qw',)","('sal|graph|inequ|y3x5',)"
"('http://youtube.com/watch?v=vinEPfrqfiU',)","('stereoisom|enantiom|diastereom|constitut|isom|meso|compound',)"
"('http://youtube.com/watch?v=12Rvts2NR7M',)","('introduct|chiral|handed|chiral|relat|group|bond|central|carbon',)"
"('http://youtube.com/watch?v=Z_GWBW_GVGA',)","('chair|boat|shape|cyclohexan',)"
"('http://youtube.com/watch?v=tR-hzV5Tkxo',)","('newman|project',)"
"('http://youtube.com/watch?v=AA6RfgP-AHU',)","('sp3|hybrid|orbit|sigma|bond',)"
"('http://youtube.com/watch?v=XtAB9GOfLiM',)","('probabl|get|set|card',)"
"('http://youtube.com/watch?v=FnrqBgot3jM',)","('think|differ|way|pick|offic|order|find|probabl|situat|particular',)"
"('http://youtube.com/watch?v=457xnJv80O0',)","('think|way|pick|color|group|6',)"
"('http://youtube.com/watch?v=tk-SNvCPLCE',)","('taken|test|discov|choic|guess|coupl|problem|exampl|problem|consid|probabl|independ|event|occur',)"
"('http://youtube.com/watch?v=YUEkOBvJSNg',)","('sal|analyz|solut|mathemat|problem|determin|use|deduct|reason',)"
"('http://youtube.com/watch?v=IkmM4CPnqF0',)","('sal|discuss|differ|induct|deduct|reason|consid|word|problem',)"
"('http://youtube.com/watch?v=u1eGSL6J6Fo',)","('sal|solv|equat|52x43x718|find|lcm|common|multipl|2x|3x',)"
"('http://youtube.com/watch?v=ccrYD6iX_SY',)","('sal|rewrit|quadrat|equat|vertex|form|show|reveal|vertex|correspond|parabola',)"
"('http://youtube.com/watch?v=l9ft9jpriNA',)","('sal|solv|equat|s22s350|factor|express|left|s5s7|find|svalu|factor|equal|zero',)"
